#Length	Reading	Length-Reading	Voltage	Reading	Cross-sectional	Reading
0	28.19029845	0.0354731966	1	1.014313168	1	6.935083009
0	31.77818438	0.0314681288	1	1.560951978	1	9.988796517
0	51.34805526	0.0194749342	1	0.809033513	1	7.266614493
0	37.03993456	0.0269978879	1	1.559530137	1	8.557322684
0	31.24298643	0.0320071835	1	1.681476521	1	4.831865432
0	27.9988412	0.0357157638	1	1.012994951	1	6.898841387
0	73.20144475	0.0136609326	1	1.418511809	1	7.447016964
0	29.90085698	0.0334438575	1	1.131481555	1	6.450024436
0	26.04416407	0.0383963178	1	1.38499251	1	6.194868614
0	23.99780746	0.0416704735	1	1.40588317	1	8.226004524
1	19.70875651	0.0507388683	2	1.663361464	1.5	6.50496229
1	10.61620187	0.0941956466	2	2.994329367	1.5	7.880296668
1	9.886863379	0.1011443126	2	2.904909489	1.5	9.120719659
1	25.81904123	0.0387311051	2	2.403549691	1.5	8.546088442
1	18.53221587	0.053960088	2	1.914291242	1.5	5.8332247
1	11.47071524	0.0871785219	2	3.574215363	1.5	12.44041113
1	24.95406178	0.0400736365	2	1.317245888	1.5	9.708721321
1	20.14567942	0.0496384351	2	2.174272279	1.5	5.466476699
1	9.885813362	0.1011550556	2	3.040237909	1.5	7.962470944
1	11.16848955	0.0895376224	2	1.369078959	1.5	6.689889816
2	15.78040528	0.0633697286	3	5.219383952	2	12.49878904
2	11.09972712	0.0900923049	3	7.446399355	2	8.765174474
2	6.922505705	0.1444563634	3	3.336197023	2	10.25408796
2	13.334372	0.074994158	3	4.023420571	2	11.2226509
2	12.39494752	0.0806780342	3	4.114093637	2	10.35335008
2	12.39892402	0.0806521597	3	5.174122744	2	8.233742577
2	9.383091929	0.1065746779	3	4.929608628	2	8.864894656
2	21.55510342	0.0463927257	3	5.341257408	2	13.76499848
2	12.14295656	0.0823522669	3	4.090690489	2	9.674632479
2	20.30997266	0.0492368954	3	6.165232879	2	14.57868104
3	9.385527926	0.1065470166	4	3.776959722		
3	10.37261362	0.0964077172	4	6.828894819		
3	10.90806686	0.0916752723	4	5.787595018		
3	5.600191377	0.1785653262	4	8.378857244		
3	8.854967291	0.1129309649	4	5.648941887		
3	13.43611018	0.0744263024	4	6.609877504		
3	10.32754339	0.0968284482	4	7.582656924		
3	8.278785916	0.1207906582	4	4.753320607		
3	10.25572864	0.09750648	4	4.655716665		
3	8.437724555	0.1185153644	4	7.891265948		
4	10.54590564	0.09482353	5	6.439796721		
4	8.715327966	0.1147403751	5	6.935083009		
4	7.736685643	0.1292543146	5	9.988796517		
4	10.99758543	0.0909290504	5	7.266614493		
4	10.95005398	0.0913237507	5	8.557322684		
4	6.228908095	0.1605417811	5	4.831865432		
4	5.639624044	0.1773167843	5	6.898841387		
4	7.696429528	0.1299303783	5	7.447016964		
4	8.56601883	0.1167403458	5	6.450024436		
4	9.517790847	0.1050663979	5	6.194868614		
5	6.439796721	0.1552844047	6	8.231470607		
5	6.935083009	0.1441943808	6	7.379548285		
5	9.988796517	0.1001121605	6	7.385153472		
5	7.266614493	0.137615667	6	7.998248264		
5	8.557322684	0.11685898	6	7.41388779		
5	4.831865432	0.2069594061	6	6.968736594		
5	6.898841387	0.1449518758	6	11.84711729		
5	7.447016964	0.1342819554	6	6.878298368		
5	6.450024436	0.1550381723	6	8.1607795		
5	6.194868614	0.1614239239	6	11.21603705		
6	8.226004524	0.1215657002	7	11.81393761		
6	6.674775009	0.1498177839	7	12.77648397		
6	4.567511977	0.2189375759	7	6.387459653		
6	9.226367014	0.1083850229	7	10.18446549		
6	4.128796977	0.2422013011	7	9.666382507		
6	9.322975936	0.1072618879	7	8.45914201		
6	4.664415421	0.2143891377	7	13.93524711		
6	9.217067806	0.1084943738	7	10.36162251		
6	8.154035281	0.1226386648	7	15.50559145		
6	6.26319478	0.1596629253	7	7.327210275		
7	5.080114103	0.1968459723	8	14.49074016		
7	3.921066875	0.2550326306	8	12.88050006		
7	4.653856907	0.2148755366	8	14.28149239		
7	2.510635216	0.3983055737	8	16.69237324		
7	6.847733984	0.1460337102	8	13.01781991		
7	4.247302607	0.2354435491	8	8.156405688		
7	5.627921598	0.1776854888	8	11.96435053		
7	6.790192811	0.147271223	8	9.989336977		
7	5.803887927	0.172298296	8	3.914252988		
7	6.92861804	0.1443289259	8	13.90300327		
8	5.077009628	0.1969663391	9	12.05142697		
8	5.373468226	0.1860995465	9	14.97113752		
8	5.996935777	0.1667518275	9	19.64606418		
8	5.771182115	0.1732747261	9	13.36623126		
8	6.821657801	0.1465919325	9	12.11344921		
8	6.95887828	0.1437013208	9	10.19208926		
8	4.712503969	0.2122014128	9	9.576537259		
8	4.334453403	0.2307095975	9	14.60288464		
8	4.415149847	0.226492879	9	12.8356671		
8	7.024910771	0.1423505625	9	19.69781163		
9	4.834660447	0.2068397586	10	11.89703028		
9	4.03325514	0.247938691	10	10.78899189		
9	4.477414541	0.2233431796	10	14.52636736		
9	6.545625623	0.1527737848	10	11.30093014		
9	3.247392019	0.3079394154	10	7.305297556		
9	4.337591372	0.2305426939	10	8.34812739		
9	5.551932006	0.1801174796	10	9.484147383		
9	5.434320242	0.1840156552	10	12.00984316		
9	5.124640871	0.1951356251	10	17.04121421		
9	5.022527303	0.1991029495	10	16.22878082		
10	4.131870159	0.2420211579				
10	4.981633648	0.2007373626				
10	3.47309085	0.2879279706				
10	4.076705951	0.2452960827				
10	3.37052665	0.2966895396				
10	3.146967452	0.3177662354				
10	4.161744514	0.2402838513				
10	3.275984669	0.3052517338				
10	4.82173174	0.2073943666				
10	4.303253293	0.2323823238				
